,smiles,IC50,pchembl,type,ID
1441,Cc1cc(cs1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,5.9,8.23,IC50,CHEMBL2207160
1440,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccns4,8.8,8.06,IC50,CHEMBL2207161
1439,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccncc4,13.0,7.89,IC50,CHEMBL2207162
1438,CNC(=O)c1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,15.0,7.82,IC50,CHEMBL2207163
1437,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cscn4,15.0,7.82,IC50,CHEMBL2207164
1436,Fc1ccccc1C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,17.0,7.77,IC50,CHEMBL2207165
1435,Cn1nccc1C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,18.0,7.75,IC50,CHEMBL2207166
1434,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cn[nH]c4,23.0,7.64,IC50,CHEMBL2207167
1433,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4nccs4,28.0,7.55,IC50,CHEMBL2207168
1432,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4oncc4,29.0,7.54,IC50,CHEMBL2207169
1431,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4oc5ccccc5c4,33.0,7.48,IC50,CHEMBL2207170
1430,CS(=O)(=O)c1cccc(c1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,38.0,7.42,IC50,CHEMBL2207171
1429,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4occn4,39.0,7.41,IC50,CHEMBL2207172
1428,Cc1ccccc1C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,44.0,7.36,IC50,CHEMBL2207173
1427,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)N4CCCCC4,46.0,7.34,IC50,CHEMBL2207174
1426,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cocn4,49.0,7.31,IC50,CHEMBL2207545
1425,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccon4,61.0,7.21,IC50,CHEMBL2207546
1424,CNS(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,74.0,7.13,IC50,CHEMBL2207547
1423,Cc1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,83.0,7.08,IC50,CHEMBL2207548
1422,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cn5ccccc5n4,88.0,7.06,IC50,CHEMBL2207549
1421,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4cn5ccsc5n4,93.0,7.03,IC50,CHEMBL2207550
1420,CNC(=O)c1ccc(cn1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,93.0,7.03,IC50,CHEMBL2207551
1419,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)C4CCOCC4,110.0,6.96,IC50,CHEMBL2207552
1418,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)C4=CNC(=O)C=C4,110.0,6.96,IC50,CHEMBL2207553
1417,NS(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,120.0,6.92,IC50,CHEMBL2207554
1415,FC(F)(F)c1ccc(cc1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,150.0,6.82,IC50,CHEMBL2207555
1414,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4conc4,150.0,6.82,IC50,CHEMBL2207556
1413,CC(=O)N1CCC(CC1)C(=O)N[C@@H](C2CCCCC2)c3cn(nn3)C4(CC4)C#N,160.0,6.8,IC50,CHEMBL2207557
1412,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)N4CCS(=O)(=O)CC4,210.0,6.68,IC50,CHEMBL2207558
1490,CCC(C)(C)CC[C@H](NC(=O)N1CCOCC1)C(=O)NC2(CCN(C)CC2)C#N,17.0,7.77,IC50,CHEMBL2207559
1489,O=C(NC1(CC1)C#N)[C@H](CC2CCCCC2)NC(=O)N3CCOCC3,1.6,8.8,IC50,CHEMBL2207560
1406,CCCC[C@@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c2ccsc2)[C@@H]3CC[C@@H](C)CC3,30.0,7.52,IC50,CHEMBL2207561
1484,CCCC[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c2ccsc2)[C@@H]3CC[C@@H](C)CC3,0.3,9.52,IC50,CHEMBL2207562
1403,C[C@@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c2ccsc2)[C@@H]3CC[C@@H](C)CC3,13.0,7.89,IC50,CHEMBL2207563
1402,C[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c2ccsc2)[C@@H]3CC[C@@H](C)CC3,3.0,8.52,IC50,CHEMBL2207564
1481,C[C@@H]1CC[C@H](CC1)[C@](C)(NC(=O)c2ccsc2)c3cn(CC#N)nn3,0.1,10.0,IC50,CHEMBL2207565
1480,C[C@@H]1CC[C@H](CC1)[C@](C)(NC(=O)c2ccsc2)c3cn(nn3)C(C)(C)C#N,1.0,9.0,IC50,CHEMBL2207566
1399,C[C@@H]1CC[C@H](CC1)[C@](C)(NC(=O)c2ccsc2)c3cn(nn3)C4(CC4)C#N,6.0,8.22,IC50,CHEMBL2207567
1398,C[C@](NC(=O)c1ccsc1)(C2CCCCC2)c3cn(nn3)C4(CC4)C#N,23.0,7.64,IC50,CHEMBL2207568
1397,O=C(N[C@@H](C1CCCCC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,17.0,7.77,IC50,CHEMBL2207569
1476,C[C@H](C#N)n1cc(nn1)[C@@](C)(NC(=O)c2ccsc2)C3CCCCC3,0.6,9.22,IC50,CHEMBL2207570
1475,C[C@H](C#N)n1cc(nn1)[C@@H](NC(=O)c2ccsc2)C3CCCCC3,0.6,9.22,IC50,CHEMBL2207571
1474,O=C(N[C@@H](C1CCCC1)c2cn(nn2)C3(CC3)C#N)c4ccsc4,27.0,7.57,IC50,CHEMBL2207572
1473,CC(C)[C@H](NC(=O)c1ccsc1)c2cn(nn2)C3(CC3)C#N,760.0,6.12,IC50,CHEMBL2207573
1472,FC1(F)CCC(CC1)[C@H](NC(=O)c2ccsc2)c3cn(nn3)C4(CC4)C#N,13.0,7.89,IC50,CHEMBL2207574
